season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying,Sprint
2023,14,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix,Italian Grand Prix,"{'circuitId': 'monza', 'url': 'http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}",2023-09-03,13:00:00Z,"{'date': '2023-09-01', 'time': '11:30:00Z'}","{'date': '2023-09-01', 'time': '15:00:00Z'}","{'date': '2023-09-02', 'time': '10:30:00Z'}","{'date': '2023-09-02', 'time': '14:00:00Z'}",
2023,15,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix,Singapore Grand Prix,"{'circuitId': 'marina_bay', 'url': 'http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit', 'circuitName': 'Marina Bay Street Circuit', 'Location': {'lat': '1.2914', 'long': '103.864', 'locality': 'Marina Bay', 'country': 'Singapore'}}",2023-09-17,12:00:00Z,"{'date': '2023-09-15', 'time': '09:30:00Z'}","{'date': '2023-09-15', 'time': '13:00:00Z'}","{'date': '2023-09-16', 'time': '09:30:00Z'}","{'date': '2023-09-16', 'time': '13:00:00Z'}",
2023,16,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix,Japanese Grand Prix,"{'circuitId': 'suzuka', 'url': 'http://en.wikipedia.org/wiki/Suzuka_Circuit', 'circuitName': 'Suzuka Circuit', 'Location': {'lat': '34.8431', 'long': '136.541', 'locality': 'Suzuka', 'country': 'Japan'}}",2023-09-24,05:00:00Z,"{'date': '2023-09-22', 'time': '02:30:00Z'}","{'date': '2023-09-22', 'time': '06:00:00Z'}","{'date': '2023-09-23', 'time': '02:30:00Z'}","{'date': '2023-09-23', 'time': '06:00:00Z'}",
2023,17,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix,Qatar Grand Prix,"{'circuitId': 'losail', 'url': 'http://en.wikipedia.org/wiki/Losail_International_Circuit', 'circuitName': 'Losail International Circuit', 'Location': {'lat': '25.49', 'long': '51.4542', 'locality': 'Al Daayen', 'country': 'Qatar'}}",2023-10-08,17:00:00Z,"{'date': '2023-10-06', 'time': '13:30:00Z'}","{'date': '2023-10-07', 'time': '13:00:00Z'}",,"{'date': '2023-10-06', 'time': '17:00:00Z'}","{'date': '2023-10-07', 'time': '17:30:00Z'}"
2023,18,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix,United States Grand Prix,"{'circuitId': 'americas', 'url': 'http://en.wikipedia.org/wiki/Circuit_of_the_Americas', 'circuitName': 'Circuit of the Americas', 'Location': {'lat': '30.1328', 'long': '-97.6411', 'locality': 'Austin', 'country': 'USA'}}",2023-10-22,19:00:00Z,"{'date': '2023-10-20', 'time': '17:30:00Z'}","{'date': '2023-10-21', 'time': '18:00:00Z'}",,"{'date': '2023-10-20', 'time': '21:00:00Z'}","{'date': '2023-10-21', 'time': '22:00:00Z'}"
2023,19,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix,Mexico City Grand Prix,"{'circuitId': 'rodriguez', 'url': 'http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez', 'circuitName': 'Autódromo Hermanos Rodríguez', 'Location': {'lat': '19.4042', 'long': '-99.0907', 'locality': 'Mexico City', 'country': 'Mexico'}}",2023-10-29,20:00:00Z,"{'date': '2023-10-27', 'time': '18:30:00Z'}","{'date': '2023-10-27', 'time': '22:00:00Z'}","{'date': '2023-10-28', 'time': '17:30:00Z'}","{'date': '2023-10-28', 'time': '21:00:00Z'}",
2023,20,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix,São Paulo Grand Prix,"{'circuitId': 'interlagos', 'url': 'http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace', 'circuitName': 'Autódromo José Carlos Pace', 'Location': {'lat': '-23.7036', 'long': '-46.6997', 'locality': 'São Paulo', 'country': 'Brazil'}}",2023-11-05,17:00:00Z,"{'date': '2023-11-03', 'time': '14:30:00Z'}","{'date': '2023-11-04', 'time': '14:30:00Z'}",,"{'date': '2023-11-03', 'time': '18:00:00Z'}","{'date': '2023-11-04', 'time': '18:30:00Z'}"
2023,21,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix,Las Vegas Grand Prix,"{'circuitId': 'vegas', 'url': 'https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit', 'circuitName': 'Las Vegas Strip Street Circuit', 'Location': {'lat': '36.1147', 'long': '-115.173', 'locality': 'Las Vegas', 'country': 'United States'}}",2023-11-19,06:00:00Z,"{'date': '2023-11-16', 'time': '04:30:00Z'}","{'date': '2023-11-16', 'time': '08:00:00Z'}","{'date': '2023-11-17', 'time': '04:30:00Z'}","{'date': '2023-11-17', 'time': '08:00:00Z'}",
2023,22,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,"{'circuitId': 'yas_marina', 'url': 'http://en.wikipedia.org/wiki/Yas_Marina_Circuit', 'circuitName': 'Yas Marina Circuit', 'Location': {'lat': '24.4672', 'long': '54.6031', 'locality': 'Abu Dhabi', 'country': 'UAE'}}",2023-11-26,13:00:00Z,"{'date': '2023-11-24', 'time': '09:30:00Z'}","{'date': '2023-11-24', 'time': '13:00:00Z'}","{'date': '2023-11-25', 'time': '10:30:00Z'}","{'date': '2023-11-25', 'time': '14:00:00Z'}",
2024,1,https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix,Bahrain Grand Prix,"{'circuitId': 'bahrain', 'url': 'http://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",2024-03-02,15:00:00Z,"{'date': '2024-02-29', 'time': '11:30:00Z'}","{'date': '2024-02-29', 'time': '15:00:00Z'}","{'date': '2024-03-01', 'time': '12:30:00Z'}","{'date': '2024-03-01', 'time': '16:00:00Z'}",
